episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
192,-1726.299621,-1726.297729,0.050000,100000,0.067599,2000,1297,1,1,1,0,138.755325,384000
193,-72.179441,-72.179420,0.050000,100000,0.076462,2000,0,1,1,1,0,138.755325,386000
194,-136.578786,-136.577728,0.050000,100000,0.083100,2000,0,2,1,1,0,138.755325,388000
195,-160.771399,-160.771469,0.050000,100000,0.087156,2000,0,1,1,1,0,138.755325,390000
196,-67.557982,-67.558365,0.050000,100000,0.094289,2000,1,2,1,1,0,138.755325,392000
197,-165.088992,-165.089828,0.050000,100000,0.107159,2000,0,1,1,1,0,138.755325,394000
198,-113.264234,-113.263191,0.050000,100000,0.118854,2000,1,3,1,1,0,138.755325,396000
199,-152.784256,-152.783752,0.050000,100000,0.135190,2000,0,1,1,1,0,138.755325,398000
200,-139.946194,-139.946106,0.050000,100000,0.162194,2000,0,1,1,1,0,138.755325,400000
201,-137.836778,-137.836792,0.050000,100000,0.191116,2000,0,1,1,1,0,138.755325,402000
202,-143.273300,-143.273438,0.050000,100000,0.246477,2000,0,1,1,1,0,138.755325,404000
203,-36.467253,-36.467499,0.050000,100000,0.288061,2000,0,0,0,1,0,138.755325,406000
204,-164.245228,-164.245422,0.050000,100000,0.355282,2000,0,1,1,1,0,138.755325,408000
205,-145.465735,-145.464890,0.050000,100000,0.456300,2000,0,1,1,1,0,138.755325,410000
206,-137.311644,-137.311844,0.050000,100000,0.544273,2000,0,1,1,1,0,138.755325,412000
207,-130.299864,-130.299896,0.050000,100000,0.717468,2000,0,1,1,1,0,138.755325,414000
208,-438.742945,-438.743378,0.050000,100000,0.897695,2000,246,1,1,1,0,138.755325,416000
209,-963.797314,-963.788025,0.050000,100000,1.011897,2000,676,1,1,1,0,138.755325,418000
210,-1694.261898,-1694.267090,0.050000,100000,1.089935,2000,1281,1,1,1,0,138.755325,420000
211,-1680.976652,-1680.981934,0.050000,100000,1.277664,2000,1270,1,1,1,0,138.755325,422000
212,-1192.596679,-1192.589844,0.050000,100000,1.361839,2000,871,1,1,1,0,138.755325,424000
213,-151.578155,-151.577866,0.050000,100000,1.371942,2000,9,1,1,1,0,138.755325,426000
214,-137.783059,-137.782791,0.050000,100000,1.337112,2000,1,1,1,1,0,138.755325,428000
215,-145.356302,-145.355789,0.050000,100000,1.352167,2000,0,1,1,1,0,138.755325,430000
216,-188.314407,-188.315704,0.050000,100000,1.303960,2000,24,1,1,1,0,138.755325,432000
217,-168.609961,-168.610153,0.050000,100000,1.285764,2000,10,1,1,1,0,138.755325,434000
218,-182.556799,-182.557526,0.050000,100000,1.186077,2000,20,1,1,1,0,138.755325,436000
219,-191.996343,-191.997849,0.050000,100000,1.236617,2000,31,1,1,1,0,138.755325,438000
220,-148.156854,-148.156250,0.050000,100000,1.180280,2000,0,1,1,1,0,138.755325,440000
221,-154.147890,-154.147461,0.050000,100000,1.204172,2000,0,1,1,1,0,138.755325,442000
222,-152.701519,-152.701294,0.050000,100000,1.186159,2000,0,1,1,1,0,138.755325,444000
223,-947.005321,-946.996399,0.050000,100000,1.183302,2000,660,1,1,1,0,138.755325,446000
224,-167.559622,-167.559891,0.050000,100000,1.204453,2000,10,1,1,1,0,138.755325,448000
225,-127.208786,-127.207283,0.050000,100000,1.217830,2000,0,2,1,1,0,138.755325,450000
226,-134.214414,-134.213287,0.050000,100000,1.151097,2000,1,3,1,1,0,138.755325,452000
